qualifyId,raceId,driverId,driverFullName,constructorId,number,position,q1,q2,q3
44,3,22,Sergio Perez,9,11,4,1:19.094,1:19.003,1:18.874
45,3,10,Pierre Gasly,8,10,5,1:18.876,1:18.717,1:18.569
46,3,27,Carlos Sainz,3,55,6,1:19.552,1:19.600,1:19.641
47,3,25,Daniel Ricciardo,6,3,7,1:19.280,1:19.236,1:19.171
48,3,21,Esteban Ocon,1,31,8,1:20.060,1:19.719,1:19.546
49,3,2,Fernando Alonso,1,14,9,1:20.211,1:20.018,1:19.910
50,3,20,Lando Norris,6,4,10,1:20.179,1:19.952,1:20.012
51,3,24,Kimi Raikkonen,5,7,11,1:20.480,1:20.173,
52,3,15,Nicholas Latifi,10,6,12,1:21.429,1:21.327,
53,3,19,Nikita Mazepin,4,9,13,1:21.030,1:21.069,
54,3,17,Charles Leclerc,3,16,14,1:21.785,1:21.827,
55,3,31,Yuki Tsunoda,8,22,15,1:21.648,1:21.363,
56,3,11,Antonio Giovinazzi,5,99,16,1:22.475,,
57,3,26,George Russell,10,63,17,1:22.566,,
58,3,29,Mick Schumacher,4,47,18,1:22.922,,
59,3,30,Lance Stroll,2,18,19,1:22.809,,
60,3,33,Sebastian Vettel,2,5,20,1:23.191,,
61,4,13,Lewis Hamilton,7,44,1,1:17.834,1:17.518,1:17.304
62,4,32,Max Verstappen,9,33,2,1:18.218,1:17.904,1:17.937
63,4,6,Valtteri Bottas,7,77,3,1:18.403,1:18.195,1:18.213
64,4,27,Carlos Sainz,3,55,4,1:18.659,1:18.585,1:18.422
65,4,20,Lando Norris,6,4,5,1:19.460,1:19.402,1:19.467
66,4,31,Yuki Tsunoda,8,22,6,1:19.484,1:19.258,1:19.270
67,4,22,Sergio Perez,9,11,7,1:19.696,1:19.443,1:19.261
68,4,2,Fernando Alonso,1,14,8,1:19.659,1:19.646,1:19.636
69,4,10,Pierre Gasly,8,10,9,1:20.202,1:20.068,1:20.048
70,4,17,Charles Leclerc,3,16,10,1:20.598,1:20.621,1:20.418
71,4,25,Daniel Ricciardo,6,3,11,1:21.089,1:21.073,
72,4,15,Nicholas Latifi,10,6,12,1:21.341,1:21.041,
73,4,19,Nikita Mazepin,4,9,13,1:21.022,1:20.878,
74,4,33,Sebastian Vettel,2,5,14,1:21.985,1:21.808,
75,4,21,Esteban Ocon,1,31,15,1:21.631,1:21.408,
76,4,11,Antonio Giovinazzi,5,99,16,1:21.996,,
77,4,24,Kimi Raikkonen,5,7,17,1:22.274,,
78,4,30,Lance Stroll,2,18,18,1:22.909,,
79,4,26,George Russell,10,63,19,1:23.099,,
80,4,29,Mick Schumacher,4,47,20,1:23.063,,
81,5,32,Max Verstappen,9,33,1,1:17.871,1:17.753,1:17.669
82,5,27,Carlos Sainz,3,55,2,1:18.313,1:18.319,1:18.373
83,5,20,Lando Norris,6,4,3,1:18.837,1:18.854,1:18.873
84,5,6,Valtteri Bottas,7,77,4,1:18.598,1:18.345,1:18.266
85,5,22,Sergio Perez,9,11,5,1:18.942,1:18.621,1:18.687
86,5,33,Sebastian Vettel,2,5,6,1:19.753,1:19.680,1:19.481
87,5,30,Lance Stroll,2,18,7,1:20.045,1:19.855,1:19.654
88,5,10,Pierre Gasly,8,10,8,1:19.611,1:19.560,1:19.574
89,5,17,Charles Leclerc,3,16,9,1:20.354,1:20.275,1:20.125
90,5,13,Lewis Hamilton,7,44,10,1:20.178,1:20.088,1:19.899
91,5,19,Nikita Mazepin,4,9,11,1:20.590,1:20.275,
92,5,26,George Russell,10,63,12,1:21.289,1:20.973,
93,5,11,Antonio Giovinazzi,5,99,13,1:21.651,1:21.421,
94,5,2,Fernando Alonso,1,14,14,1:21.653,1:21.364,
95,5,21,Esteban Ocon,1,31,15,1:22.103,1:21.879,
96,5,24,Kimi Raikkonen,5,7,16,1:22.392,,
97,5,29,Mick Schumacher,4,47,17,1:22.688,,
98,5,31,Yuki Tsunoda,8,22,18,1:22.400,,
99,5,15,Nicholas Latifi,10,6,19,1:23.274,,
100,5,25,Daniel Ricciardo,6,3,20,1:23.003,,
101,6,22,Sergio Perez,9,11,1,1:18.150,1:17.909,1:17.938
102,6,27,Carlos Sainz,3,55,2,1:18.151,1:17.868,1:17.816
103,6,10,Pierre Gasly,8,10,3,1:18.230,1:18.005,1:17.964
104,6,21,Esteban Ocon,1,31,4,1:18.731,1:18.461,1:18.455
105,6,33,Sebastian Vettel,2,5,5,1:19.276,1:19.286,1:19.210
106,6,30,Lance Stroll,2,18,6,1:19.626,1:19.610,1:19.650
107,6,20,Lando Norris,6,4,7,1:19.288,1:19.279,1:19.332
108,6,2,Fernando Alonso,1,14,8,1:19.866,1:19.855,1:19.678
109,6,17,Charles Leclerc,3,16,9,1:19.977,1:19.762,1:19.591
110,6,13,Lewis Hamilton,7,44,10,1:20.229,1:20.259,1:20.312
111,6,19,Nikita Mazepin,4,9,11,1:20.559,1:20.348,
112,6,31,Yuki Tsunoda,8,22,12,1:20.968,1:20.927,
113,6,24,Kimi Raikkonen,5,7,13,1:21.175,1:21.192,
114,6,11,Antonio Giovinazzi,5,99,14,1:21.591,1:21.345,
115,6,15,Nicholas Latifi,10,6,15,1:22.223,1:22.197,
116,6,29,Mick Schumacher,4,47,16,1:22.070,,
117,6,26,George Russell,10,63,17,1:22.597,,
118,6,32,Max Verstappen,9,33,18,1:22.860,,
119,6,6,Valtteri Bottas,7,77,19,1:22.897,,
120,6,25,Daniel Ricciardo,6,3,20,1:22.972,,
121,7,32,Max Verstappen,9,33,1,1:17.642,1:17.449,1:17.405
122,7,13,Lewis Hamilton,7,44,2,1:17.920,1:17.753,1:17.630
123,7,6,Valtteri Bottas,7,77,3,1:18.858,1:18.635,1:18.457
124,7,22,Sergio Perez,9,11,4,1:18.802,1:18.851,1:18.907
125,7,27,Carlos Sainz,3,55,5,1:19.136,1:19.103,1:18.952
126,7,20,Lando Norris,6,4,6,1:19.242,1:18.975,1:18.835
127,7,2,Fernando Alonso,1,14,7,1:19.702,1:19.364,1:19.225
128,7,21,Esteban Ocon,1,31,8,1:20.314,1:20.134,1:20.114
129,7,10,Pierre Gasly,8,10,9,1:20.525,1:20.551,1:20.448
130,7,30,Lance Stroll,2,18,10,1:20.393,1:20.124,1:19.949
131,7,11,Antonio Giovinazzi,5,99,11,1:20.791,1:20.460,
132,7,31,Yuki Tsunoda,8,22,12,1:21.161,1:20.924,
133,7,15,Nicholas Latifi,10,6,13,1:21.164,1:21.049,
134,7,19,Nikita Mazepin,4,9,14,1:21.598,1:21.404,
135,7,33,Sebastian Vettel,2,5,15,1:21.753,1:21.517,
136,7,29,Mick Schumacher,4,47,16,1:21.824,,
137,7,17,Charles Leclerc,3,16,17,1:22.755,,
138,7,24,Kimi Raikkonen,5,7,18,1:22.557,,
139,7,26,George Russell,10,63,19,1:23.048,,
140,7,25,Daniel Ricciardo,6,3,20,1:23.256,,
141,8,32,Max Verstappen,9,33,1,1:17.994,1:17.939,1:17.806
142,8,20,Lando Norris,6,4,2,1:18.140,1:17.812,1:17.805
143,8,13,Lewis Hamilton,7,44,3,1:18.161,1:18.077,1:18.122
144,8,6,Valtteri Bottas,7,77,4,1:19.143,1:19.161,1:19.031
145,8,27,Carlos Sainz,3,55,5,1:19.092,1:18.962,1:18.767
146,8,22,Sergio Perez,9,11,6,1:19.680,1:19.499,1:19.429
147,8,25,Daniel Ricciardo,6,3,7,1:19.959,1:19.672,1:19.595
148,8,2,Fernando Alonso,1,14,8,1:20.079,1:19.887,1:19.866
149,8,10,Pierre Gasly,8,10,9,1:20.174,1:20.030,1:19.951
150,8,21,Esteban Ocon,1,31,10,1:20.687,1:20.402,1:20.270
151,8,17,Charles Leclerc,3,16,11,1:20.830,1:20.820,
152,8,29,Mick Schumacher,4,47,12,1:21.068,1:21.064,
153,8,26,George Russell,10,63,13,1:21.726,1:21.465,
154,8,31,Yuki Tsunoda,8,22,14,1:21.870,1:21.811,
155,8,15,Nicholas Latifi,10,6,15,1:21.828,1:21.685,
156,8,11,Antonio Giovinazzi,5,99,16,1:22.361,,
157,8,30,Lance Stroll,2,18,17,1:22.080,,
158,8,19,Nikita Mazepin,4,9,18,1:22.671,,
159,8,33,Sebastian Vettel,2,5,19,1:22.933,,
160,8,24,Kimi Raikkonen,5,7,20,1:23.135,,
161,9,32,Max Verstappen,9,33,1,1:18.086,1:18.048,1:17.855
162,9,2,Fernando Alonso,1,14,2,1:18.346,1:18.208,1:18.272
163,9,20,Lando Norris,6,4,3,1:18.359,1:18.376,1:18.342
164,9,13,Lewis Hamilton,7,44,4,1:18.946,1:18.800,1:18.694
165,9,6,Valtteri Bottas,7,77,5,1:18.871,1:18.856,1:18.628
166,9,27,Carlos Sainz,3,55,6,1:19.768,1:19.812,1:19.636
167,9,22,Sergio Perez,9,11,7,1:20.077,1:19.944,1:19.826
168,9,25,Daniel Ricciardo,6,3,8,1:19.740,1:19.746,1:19.781
169,9,10,Pierre Gasly,8,10,9,1:20.315,1:19.990,1:20.045
170,9,30,Lance Stroll,2,18,10,1:20.375,1:20.087,1:20.090
171,9,24,Kimi Raikkonen,5,7,11,1:20.536,1:20.423,
172,9,17,Charles Leclerc,3,16,12,1:21.363,1:21.284,
173,9,33,Sebastian Vettel,2,5,13,1:21.532,1:21.486,
174,9,29,Mick Schumacher,4,47,14,1:21.564,1:21.600,
175,9,21,Esteban Ocon,1,31,15,1:21.973,1:21.936,
176,9,19,Nikita Mazepin,4,9,16,1:22.536,,
177,9,31,Yuki Tsunoda,8,22,17,1:22.596,,
178,9,15,Nicholas Latifi,10,6,18,1:22.796,,
179,9,11,Antonio Giovinazzi,5,99,19,1:23.201,,
180,9,26,George Russell,10,63,20,1:23.376,,
181,10,13,Lewis Hamilton,7,44,1,1:17.756,1:17.767,1:17.646
182,10,17,Charles Leclerc,3,16,2,1:17.945,1:17.807,1:17.785
183,10,32,Max Verstappen,9,33,3,1:18.498,1:18.425,1:18.433
184,10,20,Lando Norris,6,4,4,1:18.865,1:18.546,1:18.421
185,10,22,Sergio Perez,9,11,5,1:19.150,1:18.999,1:19.068
186,10,6,Valtteri Bottas,7,77,6,1:19.712,1:19.372,1:19.436
187,10,27,Carlos Sainz,3,55,7,1:19.669,1:19.563,1:19.336
188,10,25,Daniel Ricciardo,6,3,8,1:19.920,1:19.722,1:19.691
189,10,2,Fernando Alonso,1,14,9,1:20.269,1:20.194,1:20.243
190,10,21,Esteban Ocon,1,31,10,1:20.737,1:20.499,1:20.518
191,10,33,Sebastian Vettel,2,5,11,1:20.624,1:20.413,
192,10,11,Antonio Giovinazzi,5,99,12,1:21.126,1:21.024,
193,10,15,Nicholas Latifi,10,6,13,1:20.989,1:20.838,
194,10,26,George Russell,10,63,14,1:21.584,1:21.576,
195,10,30,Lance Stroll,2,18,15,1:22.215,1:22.072,
196,10,19,Nikita Mazepin,4,9,16,1:22.541,,
197,10,24,Kimi Raikkonen,5,7,17,1:22.249,,
198,10,29,Mick Schumacher,4,47,18,1:22.838,,
199,10,31,Yuki Tsunoda,8,22,19,1:22.770,,
200,10,10,Pierre Gasly,8,10,20,1:23.557,,
201,11,21,Esteban Ocon,1,31,1,1:18.081,1:17.740,1:17.786
202,11,33,Sebastian Vettel,2,5,2,1:17.933,1:17.762,1:17.646
203,11,17,Charles Leclerc,3,16,3,1:18.825,1:18.510,1:18.300
204,11,13,Lewis Hamilton,7,44,4,1:19.212,1:18.877,1:18.773
205,11,26,George Russell,10,63,5,1:18.924,1:18.584,1:18.432
206,11,27,Carlos Sainz,3,55,6,1:19.244,1:18.958,1:18.970
207,11,20,Lando Norris,6,4,7,1:19.965,1:19.673,1:19.731
208,11,6,Valtteri Bottas,7,77,8,1:19.783,1:19.671,1:19.572
209,11,10,Pierre Gasly,8,10,9,1:20.625,1:20.463,1:20.318
210,11,30,Lance Stroll,2,18,10,1:20.740,1:20.700,1:20.528
211,11,31,Yuki Tsunoda,8,22,11,1:21.196,1:20.929,
212,11,2,Fernando Alonso,1,14,12,1:20.998,1:20.703,
213,11,29,Mick Schumacher,4,47,13,1:21.552,1:21.215,
214,11,19,Nikita Mazepin,4,9,14,1:21.559,1:21.503,
215,11,15,Nicholas Latifi,10,6,15,1:22.213,1:22.055,
216,11,11,Antonio Giovinazzi,5,99,16,1:22.206,,
217,11,24,Kimi Raikkonen,5,7,17,1:22.812,,
218,11,25,Daniel Ricciardo,6,3,18,1:22.563,,
219,11,32,Max Verstappen,9,33,19,1:22.717,,
220,11,22,Sergio Perez,9,11,20,1:23.526,,
221,12,32,Max Verstappen,9,33,1,1:18.324,1:18.052,1:18.044
222,12,26,George Russell,10,63,2,1:18.060,1:18.085,1:18.122
223,12,13,Lewis Hamilton,7,44,3,1:18.826,1:18.614,1:18.659
224,12,6,Valtteri Bottas,7,77,4,1:19.233,1:19.130,1:19.138
225,12,22,Sergio Perez,9,11,5,1:19.166,1:19.190,1:19.097
226,12,20,Lando Norris,6,4,6,1:19.330,1:19.105,1:18.919
227,12,27,Carlos Sainz,3,55,7,1:19.565,1:19.445,1:19.339
228,12,33,Sebastian Vettel,2,5,8,1:20.328,1:20.215,1:20.276
229,12,30,Lance Stroll,2,18,9,1:20.464,1:20.456,1:20.420
230,12,21,Esteban Ocon,1,31,10,1:20.464,1:20.128,1:20.151
231,12,29,Mick Schumacher,4,47,11,1:20.732,1:20.475,
232,12,19,Nikita Mazepin,4,9,12,1:21.179,1:20.937,
233,12,2,Fernando Alonso,1,14,13,1:21.323,1:21.105,
234,12,17,Charles Leclerc,3,16,14,1:21.588,1:21.381,
235,12,15,Nicholas Latifi,10,6,15,1:22.130,1:22.139,
236,12,24,Kimi Raikkonen,5,7,16,1:22.082,,
237,12,11,Antonio Giovinazzi,5,99,17,1:22.649,,
238,12,31,Yuki Tsunoda,8,22,18,1:22.370,,
239,12,25,Daniel Ricciardo,6,3,19,1:23.169,,
240,12,10,Pierre Gasly,8,10,20,1:23.115,,
241,13,32,Max Verstappen,9,33,1,1:17.960,1:17.969,1:17.971
242,13,13,Lewis Hamilton,7,44,2,1:18.157,1:17.963,1:17.861
243,13,6,Valtteri Bottas,7,77,3,1:18.396,1:18.107,1:17.975
244,13,22,Sergio Perez,9,11,4,1:18.763,1:18.474,1:18.518
245,13,20,Lando Norris,6,4,5,1:19.500,1:19.503,1:19.367
246,13,17,Charles Leclerc,3,16,6,1:19.196,1:18.956,1:18.973
247,13,27,Carlos Sainz,3,55,7,1:19.563,1:19.583,1:19.621
248,13,2,Fernando Alonso,1,14,8,1:20.171,1:19.965,1:19.786
249,13,10,Pierre Gasly,8,10,9,1:20.038,1:19.839,1:19.725
250,13,21,Esteban Ocon,1,31,10,1:20.489,1:20.230,1:20.154
251,13,25,Daniel Ricciardo,6,3,11,1:20.414,1:20.426,
252,13,11,Antonio Giovinazzi,5,99,12,1:21.226,1:20.940,
253,13,30,Lance Stroll,2,18,13,1:21.240,1:20.913,
254,13,15,Nicholas Latifi,10,6,14,1:21.295,1:21.228,
255,13,19,Nikita Mazepin,4,9,15,1:21.819,1:21.826,
256,13,24,Kimi Raikkonen,5,7,16,1:21.929,,
257,13,29,Mick Schumacher,4,47,17,1:22.733,,
258,13,26,George Russell,10,63,18,1:23.130,,
259,13,31,Yuki Tsunoda,8,22,19,1:23.142,,
260,13,33,Sebastian Vettel,2,5,20,1:23.025,,
261,14,25,Daniel Ricciardo,6,3,1,1:18.382,1:18.245,1:18.130
262,14,20,Lando Norris,6,4,2,1:18.674,1:18.591,1:18.555
263,14,6,Valtteri Bottas,7,77,3,1:18.621,1:18.497,1:18.419
264,14,17,Charles Leclerc,3,16,4,1:19.042,1:18.911,1:18.837
265,14,22,Sergio Perez,9,11,5,1:19.302,1:19.269,1:19.069
266,14,32,Max Verstappen,9,33,6,1:19.624,1:19.652,1:19.472
267,14,31,Yuki Tsunoda,8,22,7,1:20.061,1:19.817,1:19.695
268,14,27,Carlos Sainz,3,55,8,1:19.830,1:19.818,1:19.629
269,14,10,Pierre Gasly,8,10,9,1:20.000,1:19.772,1:19.630
270,14,2,Fernando Alonso,1,14,10,1:20.685,1:20.373,1:20.223
271,14,19,Nikita Mazepin,4,9,11,1:20.402,1:20.261,
272,14,15,Nicholas Latifi,10,6,12,1:21.141,1:21.143,
273,14,30,Lance Stroll,2,18,13,1:21.568,1:21.458,
274,14,29,Mick Schumacher,4,47,14,1:21.538,1:21.204,
275,14,11,Antonio Giovinazzi,5,99,15,1:21.757,1:21.554,
276,14,24,Kimi Raikkonen,5,7,16,1:22.523,,
277,14,26,George Russell,10,63,17,1:22.369,,
278,14,21,Esteban Ocon,1,31,18,1:23.079,,
279,14,13,Lewis Hamilton,7,44,19,1:23.104,,
280,14,33,Sebastian Vettel,2,5,20,1:22.992,,
281,15,13,Lewis Hamilton,7,44,1,1:18.048,1:17.739,1:17.529
282,15,22,Sergio Perez,9,11,2,1:18.322,1:18.348,1:18.283
283,15,6,Valtteri Bottas,7,77,3,1:18.778,1:18.556,1:18.339
284,15,32,Max Verstappen,9,33,4,1:18.533,1:18.300,1:18.364
285,15,27,Carlos Sainz,3,55,5,1:19.321,1:18.981,1:18.888
286,15,20,Lando Norris,6,4,6,1:19.590,1:19.260,1:19.119
287,15,10,Pierre Gasly,8,10,7,1:19.761,1:19.676,1:19.672
288,15,21,Esteban Ocon,1,31,8,1:19.844,1:19.586,1:19.655
289,15,2,Fernando Alonso,1,14,9,1:20.286,1:20.261,1:20.282
290,15,26,George Russell,10,63,10,1:20.213,1:20.103,1:20.051
291,15,11,Antonio Giovinazzi,5,99,11,1:20.818,1:20.638,
292,15,24,Kimi Raikkonen,5,7,12,1:21.008,1:21.001,
293,15,33,Sebastian Vettel,2,5,13,1:21.067,1:20.799,
294,15,25,Daniel Ricciardo,6,3,14,1:21.577,1:21.437,
295,15,29,Mick Schumacher,4,47,15,1:22.230,1:22.133,
296,15,17,Charles Leclerc,3,16,16,1:22.095,,
297,15,15,Nicholas Latifi,10,6,17,1:22.758,,
298,15,19,Nikita Mazepin,4,9,18,1:22.770,,
299,15,31,Yuki Tsunoda,8,22,19,1:23.418,,
300,15,30,Lance Stroll,2,18,20,1:23.483,,
301,16,6,Valtteri Bottas,7,77,1,1:18.315,1:18.213,1:18.045
302,16,32,Max Verstappen,9,33,2,1:17.909,1:17.881,1:17.773
303,16,22,Sergio Perez,9,11,3,1:18.886,1:18.617,1:18.546
304,16,17,Charles Leclerc,3,16,4,1:19.004,1:18.661,1:18.713
305,16,13,Lewis Hamilton,7,44,5,1:19.137,1:18.834,1:18.719
306,16,26,George Russell,10,63,6,1:19.116,1:19.002,1:18.832
307,16,2,Fernando Alonso,1,14,7,1:19.943,1:19.671,1:19.696
308,16,30,Lance Stroll,2,18,8,1:20.293,1:20.092,1:20.122
309,16,15,Nicholas Latifi,10,6,9,1:20.562,1:20.351,1:20.333
310,16,25,Daniel Ricciardo,6,3,10,1:20.614,1:20.505,1:20.399
311,16,10,Pierre Gasly,8,10,11,1:20.867,1:20.799,
312,16,33,Sebastian Vettel,2,5,12,1:20.828,1:20.674,
313,16,29,Mick Schumacher,4,47,13,1:21.155,1:21.111,
314,16,19,Nikita Mazepin,4,9,14,1:21.760,1:21.792,
315,16,31,Yuki Tsunoda,8,22,15,1:21.659,1:21.344,
316,16,24,Kimi Raikkonen,5,7,16,1:22.082,,
317,16,21,Esteban Ocon,1,31,17,1:22.871,,
318,16,20,Lando Norris,6,4,18,1:22.784,,
319,16,11,Antonio Giovinazzi,5,99,19,1:22.988,,
320,16,27,Carlos Sainz,3,55,20,1:23.439,,
321,17,32,Max Verstappen,9,33,1,1:17.644,1:17.456,1:17.468
322,17,13,Lewis Hamilton,7,44,2,1:18.602,1:18.447,1:18.414
323,17,22,Sergio Perez,9,11,3,1:18.839,1:18.822,1:18.669
324,17,20,Lando Norris,6,4,4,1:18.947,1:18.615,1:18.449
325,17,6,Valtteri Bottas,7,77,5,1:19.234,1:19.186,1:19.125
326,17,27,Carlos Sainz,3,55,6,1:19.102,1:18.977,1:18.798
327,17,2,Fernando Alonso,1,14,7,1:19.818,1:19.701,1:19.478
328,17,21,Esteban Ocon,1,31,8,1:20.299,1:20.022,1:20.001
329,17,10,Pierre Gasly,8,10,9,1:20.510,1:20.239,1:20.047
330,17,17,Charles Leclerc,3,16,10,1:20.600,1:20.650,1:20.555
331,17,26,George Russell,10,63,11,1:20.746,1:20.715,
332,17,33,Sebastian Vettel,2,5,12,1:21.389,1:21.242,
333,17,29,Mick Schumacher,4,47,13,1:21.625,1:21.316,
334,17,31,Yuki Tsunoda,8,22,14,1:21.576,1:21.571,
335,17,15,Nicholas Latifi,10,6,15,1:22.066,1:21.910,
336,17,30,Lance Stroll,2,18,16,1:22.124,,
337,17,11,Antonio Giovinazzi,5,99,17,1:22.721,,
338,17,19,Nikita Mazepin,4,9,18,1:23.095,,
339,17,25,Daniel Ricciardo,6,3,19,1:23.417,,
340,17,24,Kimi Raikkonen,5,7,20,1:23.419,,
341,18,32,Max Verstappen,9,33,1,1:18.041,1:17.765,1:17.660
342,18,13,Lewis Hamilton,7,44,2,1:18.423,1:18.283,1:18.342
343,18,22,Sergio Perez,9,11,3,1:18.858,1:18.600,1:18.457
344,18,10,Pierre Gasly,8,10,4,1:18.619,1:18.309,1:18.274
345,18,20,Lando Norris,6,4,5,1:19.354,1:19.353,1:19.246
346,18,27,Carlos Sainz,3,55,6,1:19.509,1:19.457,1:19.300
347,18,2,Fernando Alonso,1,14,7,1:19.517,1:19.403,1:19.303
348,18,21,Esteban Ocon,1,31,8,1:20.030,1:19.810,1:19.584
349,18,17,Charles Leclerc,3,16,9,1:20.316,1:20.113,1:20.162
350,18,6,Valtteri Bottas,7,77,10,1:20.281,1:19.968,1:19.964
351,18,31,Yuki Tsunoda,8,22,11,1:20.753,1:20.703,
352,18,19,Nikita Mazepin,4,9,12,1:20.986,1:20.963,
353,18,24,Kimi Raikkonen,5,7,13,1:21.394,1:21.397,
354,18,26,George Russell,10,63,14,1:21.496,1:21.379,
355,18,30,Lance Stroll,2,18,15,1:21.829,1:21.580,
356,18,11,Antonio Giovinazzi,5,99,16,1:22.193,,
357,18,15,Nicholas Latifi,10,6,17,1:22.574,,
358,18,33,Sebastian Vettel,2,5,18,1:22.469,,
359,18,25,Daniel Ricciardo,6,3,19,1:22.882,,
360,18,29,Mick Schumacher,4,47,20,1:23.310,,
361,19,13,Lewis Hamilton,7,44,1,1:17.916,1:17.791,1:17.578
362,19,32,Max Verstappen,9,33,2,1:18.473,1:18.309,1:18.146
363,19,6,Valtteri Bottas,7,77,3,1:18.252,1:18.053,1:17.990
364,19,20,Lando Norris,6,4,4,1:19.205,1:19.067,1:18.926
365,19,25,Daniel Ricciardo,6,3,5,1:18.925,1:18.642,1:18.688
366,19,27,Carlos Sainz,3,55,6,1:19.374,1:19.295,1:19.321
367,19,17,Charles Leclerc,3,16,7,1:19.559,1:19.293,1:19.194
368,19,21,Esteban Ocon,1,31,8,1:20.053,1:19.854,1:19.797
369,19,22,Sergio Perez,9,11,9,1:19.957,1:19.846,1:19.654
370,19,10,Pierre Gasly,8,10,10,1:20.264,1:20.300,1:20.185
371,19,26,George Russell,10,63,11,1:21.092,1:21.112,
372,19,15,Nicholas Latifi,10,6,12,1:21.370,1:21.223,
373,19,33,Sebastian Vettel,2,5,13,1:21.530,1:21.367,
374,19,31,Yuki Tsunoda,8,22,14,1:21.332,1:21.184,
375,19,2,Fernando Alonso,1,14,15,1:21.534,1:21.319,
376,19,30,Lance Stroll,2,18,16,1:22.349,,
377,19,29,Mick Schumacher,4,47,17,1:22.206,,
378,19,24,Kimi Raikkonen,5,7,18,1:22.825,,
379,19,11,Antonio Giovinazzi,5,99,19,1:23.017,,
380,19,19,Nikita Mazepin,4,9,20,1:23.608,,
381,20,13,Lewis Hamilton,7,44,1,1:17.840,1:17.765,1:17.604
382,20,32,Max Verstappen,9,33,2,1:18.277,1:18.159,1:18.118
383,20,2,Fernando Alonso,1,14,3,1:18.846,1:18.876,1:18.922
384,20,20,Lando Norris,6,4,4,1:18.869,1:18.819,1:18.668
385,20,6,Valtteri Bottas,7,77,5,1:19.144,1:19.129,1:18.949
386,20,10,Pierre Gasly,8,10,6,1:19.501,1:19.466,1:19.444
387,20,27,Carlos Sainz,3,55,7,1:19.566,1:19.232,1:19.191
388,20,17,Charles Leclerc,3,16,8,1:19.782,1:19.659,1:19.656
389,20,22,Sergio Perez,9,11,9,1:20.081,1:19.916,1:19.736
390,20,30,Lance Stroll,2,18,10,1:20.822,1:20.660,1:20.708
391,20,33,Sebastian Vettel,2,5,11,1:21.060,1:20.893,
