resultId,raceId,driverId,driverFullName,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,statusId
107,6,20,Lando Norris,6,4,7,7,7,6,51,5430000,1
108,6,2,Fernando Alonso,1,14,8,8,8,4,50,5435000,1
109,6,17,Charles Leclerc,3,16,9,9,9,2,49,5440000,1
110,6,13,Lewis Hamilton,7,44,10,10,10,1,48,5445000,1
111,6,19,Nikita Mazepin,4,9,11,11,11,0,47,5450000,1
112,6,31,Yuki Tsunoda,8,22,12,12,12,0,46,5455000,1
113,6,24,Kimi Raikkonen,5,7,13,13,13,0,45,5460000,1
114,6,11,Antonio Giovinazzi,5,99,14,14,14,0,44,5465000,1
115,6,15,Nicholas Latifi,10,6,15,15,15,0,43,5470000,1
116,6,29,Mick Schumacher,4,47,16,16,16,0,42,5475000,1
117,6,26,George Russell,10,63,17,17,17,0,41,5480000,1
118,6,32,Max Verstappen,9,33,18,,18,0,30,5485000,11
119,6,6,Valtteri Bottas,7,77,19,,19,0,37,5490000,17
120,6,25,Daniel Ricciardo,6,3,20,,20,0,5,5495000,11
121,7,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
122,7,13,Lewis Hamilton,7,44,2,2,2,18,56,5405000,1
123,7,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
124,7,22,Sergio Perez,9,11,4,4,4,12,54,5415000,1
125,7,27,Carlos Sainz,3,55,5,5,5,10,53,5420000,1
126,7,20,Lando Norris,6,4,6,6,6,8,52,5425000,1
127,7,2,Fernando Alonso,1,14,7,7,7,6,51,5430000,1
128,7,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
129,7,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
130,7,30,Lance Stroll,2,18,10,10,10,1,48,5445000,1
131,7,11,Antonio Giovinazzi,5,99,11,11,11,0,47,5450000,1
132,7,31,Yuki Tsunoda,8,22,12,12,12,0,46,5455000,1
133,7,15,Nicholas Latifi,10,6,13,13,13,0,45,5460000,1
134,7,19,Nikita Mazepin,4,9,14,14,14,0,44,5465000,1
135,7,33,Sebastian Vettel,2,5,15,15,15,0,43,5470000,1
136,7,29,Mick Schumacher,4,47,16,16,16,0,42,5475000,1
137,7,17,Charles Leclerc,3,16,17,17,17,0,41,5480000,1
138,7,24,Kimi Raikkonen,5,7,18,18,18,0,40,5485000,1
139,7,26,George Russell,10,63,19,19,19,0,39,5490000,1
140,7,25,Daniel Ricciardo,6,3,20,20,20,0,38,5495000,1
141,8,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
142,8,20,Lando Norris,6,4,2,2,2,18,56,5405000,1
143,8,13,Lewis Hamilton,7,44,3,3,3,15,55,5410000,1
144,8,6,Valtteri Bottas,7,77,4,4,4,12,54,5415000,1
145,8,27,Carlos Sainz,3,55,5,5,5,10,53,5420000,1
146,8,22,Sergio Perez,9,11,6,6,6,8,52,5425000,1
147,8,25,Daniel Ricciardo,6,3,7,7,7,6,51,5430000,1
148,8,2,Fernando Alonso,1,14,8,8,8,4,50,5435000,1
149,8,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
150,8,21,Esteban Ocon,1,31,10,10,10,1,48,5445000,1
151,8,17,Charles Leclerc,3,16,11,11,11,0,47,5450000,1
152,8,29,Mick Schumacher,4,47,12,12,12,0,46,5455000,1
153,8,26,George Russell,10,63,13,13,13,0,45,5460000,1
154,8,31,Yuki Tsunoda,8,22,14,14,14,0,44,5465000,1
155,8,15,Nicholas Latifi,10,6,15,15,15,0,43,5470000,1
156,8,11,Antonio Giovinazzi,5,99,16,16,16,0,42,5475000,1
157,8,30,Lance Stroll,2,18,17,17,17,0,41,5480000,1
158,8,19,Nikita Mazepin,4,9,18,18,18,0,40,5485000,1
159,8,33,Sebastian Vettel,2,5,19,19,19,0,39,5490000,1
160,8,24,Kimi Raikkonen,5,7,20,20,20,0,38,5495000,1
161,9,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
162,9,2,Fernando Alonso,1,14,2,2,2,18,56,5405000,1
163,9,20,Lando Norris,6,4,3,3,3,15,55,5410000,1
164,9,13,Lewis Hamilton,7,44,4,4,4,12,54,5415000,1
165,9,6,Valtteri Bottas,7,77,5,5,5,10,53,5420000,1
166,9,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
167,9,22,Sergio Perez,9,11,7,7,7,6,51,5430000,1
168,9,25,Daniel Ricciardo,6,3,8,8,8,4,50,5435000,1
169,9,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
170,9,30,Lance Stroll,2,18,10,10,10,1,48,5445000,1
171,9,24,Kimi Raikkonen,5,7,11,11,11,0,47,5450000,1
172,9,17,Charles Leclerc,3,16,12,12,12,0,46,5455000,1
173,9,33,Sebastian Vettel,2,5,13,13,13,0,45,5460000,1
174,9,29,Mick Schumacher,4,47,14,14,14,0,44,5465000,1
175,9,21,Esteban Ocon,1,31,15,15,15,0,43,5470000,1
176,9,19,Nikita Mazepin,4,9,16,16,16,0,42,5475000,1
177,9,31,Yuki Tsunoda,8,22,17,17,17,0,41,5480000,1
178,9,15,Nicholas Latifi,10,6,18,18,18,0,40,5485000,1
179,9,11,Antonio Giovinazzi,5,99,19,19,19,0,39,5490000,1
180,9,26,George Russell,10,63,20,20,20,0,38,5495000,1
181,10,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
182,10,17,Charles Leclerc,3,16,2,2,2,18,56,5405000,1
183,10,32,Max Verstappen,9,33,3,3,3,15,55,5410000,1
184,10,20,Lando Norris,6,4,4,4,4,12,54,5415000,1
185,10,22,Sergio Perez,9,11,5,5,5,10,53,5420000,1
186,10,6,Valtteri Bottas,7,77,6,6,6,8,52,5425000,1
187,10,27,Carlos Sainz,3,55,7,7,7,6,51,5430000,1
188,10,25,Daniel Ricciardo,6,3,8,8,8,4,50,5435000,1
189,10,2,Fernando Alonso,1,14,9,9,9,2,49,5440000,1
190,10,21,Esteban Ocon,1,31,10,10,10,1,48,5445000,1
191,10,33,Sebastian Vettel,2,5,11,11,11,0,47,5450000,1
192,10,11,Antonio Giovinazzi,5,99,12,12,12,0,46,5455000,1
193,10,15,Nicholas Latifi,10,6,13,13,13,0,45,5460000,1
194,10,26,George Russell,10,63,14,14,14,0,44,5465000,1
195,10,30,Lance Stroll,2,18,15,15,15,0,43,5470000,1
196,10,19,Nikita Mazepin,4,9,16,16,16,0,42,5475000,1
197,10,24,Kimi Raikkonen,5,7,17,17,17,0,41,5480000,1
198,10,29,Mick Schumacher,4,47,18,18,18,0,40,5485000,1
199,10,31,Yuki Tsunoda,8,22,19,19,19,0,39,5490000,1
200,10,10,Pierre Gasly,8,10,20,,20,0,45,5495000,14
201,11,21,Esteban Ocon,1,31,1,1,1,25,57,5400000,1
202,11,33,Sebastian Vettel,2,5,2,2,2,18,56,5405000,1
203,11,17,Charles Leclerc,3,16,3,3,3,15,55,5410000,1
204,11,13,Lewis Hamilton,7,44,4,4,4,12,54,5415000,1
205,11,26,George Russell,10,63,5,5,5,10,53,5420000,1
206,11,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
207,11,20,Lando Norris,6,4,7,7,7,6,51,5430000,1
208,11,6,Valtteri Bottas,7,77,8,8,8,4,50,5435000,1
209,11,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
210,11,30,Lance Stroll,2,18,10,10,10,1,48,5445000,1
211,11,31,Yuki Tsunoda,8,22,11,11,11,0,47,5450000,1
212,11,2,Fernando Alonso,1,14,12,12,12,0,46,5455000,1
213,11,29,Mick Schumacher,4,47,13,13,13,0,45,5460000,1
214,11,19,Nikita Mazepin,4,9,14,14,14,0,44,5465000,1
215,11,15,Nicholas Latifi,10,6,15,15,15,0,43,5470000,1
216,11,11,Antonio Giovinazzi,5,99,16,16,16,0,42,5475000,1
217,11,24,Kimi Raikkonen,5,7,17,17,17,0,41,5480000,1
218,11,25,Daniel Ricciardo,6,3,18,18,18,0,40,5485000,1
219,11,32,Max Verstappen,9,33,19,,19,0,27,5490000,19
220,11,22,Sergio Perez,9,11,20,,20,0,6,5495000,13
221,12,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
222,12,26,George Russell,10,63,2,2,2,18,56,5405000,1
223,12,13,Lewis Hamilton,7,44,3,3,3,15,55,5410000,1
224,12,6,Valtteri Bottas,7,77,4,4,4,12,54,5415000,1
225,12,22,Sergio Perez,9,11,5,5,5,10,53,5420000,1
226,12,20,Lando Norris,6,4,6,6,6,8,52,5425000,1
227,12,27,Carlos Sainz,3,55,7,7,7,6,51,5430000,1
228,12,33,Sebastian Vettel,2,5,8,8,8,4,50,5435000,1
229,12,30,Lance Stroll,2,18,9,9,9,2,49,5440000,1
230,12,21,Esteban Ocon,1,31,10,10,10,1,48,5445000,1
231,12,29,Mick Schumacher,4,47,11,11,11,0,47,5450000,1
232,12,19,Nikita Mazepin,4,9,12,12,12,0,46,5455000,1
233,12,2,Fernando Alonso,1,14,13,13,13,0,45,5460000,1
234,12,17,Charles Leclerc,3,16,14,14,14,0,44,5465000,1
235,12,15,Nicholas Latifi,10,6,15,15,15,0,43,5470000,1
236,12,24,Kimi Raikkonen,5,7,16,16,16,0,42,5475000,1
237,12,11,Antonio Giovinazzi,5,99,17,17,17,0,41,5480000,1
238,12,31,Yuki Tsunoda,8,22,18,18,18,0,40,5485000,1
239,12,25,Daniel Ricciardo,6,3,19,19,19,0,39,5490000,1
240,12,10,Pierre Gasly,8,10,20,20,20,0,38,5495000,1
241,13,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
242,13,13,Lewis Hamilton,7,44,2,2,2,18,56,5405000,1
243,13,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
244,13,22,Sergio Perez,9,11,4,4,4,12,54,5415000,1
245,13,20,Lando Norris,6,4,5,5,5,10,53,5420000,1
246,13,17,Charles Leclerc,3,16,6,6,6,8,52,5425000,1
247,13,27,Carlos Sainz,3,55,7,7,7,6,51,5430000,1
248,13,2,Fernando Alonso,1,14,8,8,8,4,50,5435000,1
249,13,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
250,13,21,Esteban Ocon,1,31,10,10,10,1,48,5445000,1
251,13,25,Daniel Ricciardo,6,3,11,11,11,0,47,5450000,1
252,13,11,Antonio Giovinazzi,5,99,12,12,12,0,46,5455000,1
253,13,30,Lance Stroll,2,18,13,13,13,0,45,5460000,1
254,13,15,Nicholas Latifi,10,6,14,14,14,0,44,5465000,1
255,13,19,Nikita Mazepin,4,9,15,15,15,0,43,5470000,1
256,13,24,Kimi Raikkonen,5,7,16,16,16,0,42,5475000,1
257,13,29,Mick Schumacher,4,47,17,17,17,0,41,5480000,1
258,13,26,George Russell,10,63,18,18,18,0,40,5485000,1
259,13,31,Yuki Tsunoda,8,22,19,19,19,0,39,5490000,1
260,13,33,Sebastian Vettel,2,5,20,20,20,0,38,5495000,1
261,14,25,Daniel Ricciardo,6,3,1,1,1,25,57,5400000,1
262,14,20,Lando Norris,6,4,2,2,2,18,56,5405000,1
263,14,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
264,14,17,Charles Leclerc,3,16,4,4,4,12,54,5415000,1
265,14,22,Sergio Perez,9,11,5,5,5,10,53,5420000,1
266,14,32,Max Verstappen,9,33,6,6,6,8,52,5425000,1
267,14,31,Yuki Tsunoda,8,22,7,7,7,6,51,5430000,1
268,14,27,Carlos Sainz,3,55,8,8,8,4,50,5435000,1
269,14,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
270,14,2,Fernando Alonso,1,14,10,10,10,1,48,5445000,1
271,14,19,Nikita Mazepin,4,9,11,11,11,0,47,5450000,1
272,14,15,Nicholas Latifi,10,6,12,12,12,0,46,5455000,1
273,14,30,Lance Stroll,2,18,13,13,13,0,45,5460000,1
274,14,29,Mick Schumacher,4,47,14,14,14,0,44,5465000,1
275,14,11,Antonio Giovinazzi,5,99,15,15,15,0,43,5470000,1
276,14,24,Kimi Raikkonen,5,7,16,16,16,0,42,5475000,1
277,14,26,George Russell,10,63,17,17,17,0,41,5480000,1
278,14,21,Esteban Ocon,1,31,18,18,18,0,40,5485000,1
279,14,13,Lewis Hamilton,7,44,19,,19,0,16,5490000,11
280,14,33,Sebastian Vettel,2,5,20,,20,0,36,5495000,11
281,15,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
282,15,22,Sergio Perez,9,11,2,2,2,18,56,5405000,1
283,15,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
284,15,32,Max Verstappen,9,33,4,4,4,12,54,5415000,1
285,15,27,Carlos Sainz,3,55,5,5,5,10,53,5420000,1
286,15,20,Lando Norris,6,4,6,6,6,8,52,5425000,1
287,15,10,Pierre Gasly,8,10,7,7,7,6,51,5430000,1
288,15,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
289,15,2,Fernando Alonso,1,14,9,9,9,2,49,5440000,1
290,15,26,George Russell,10,63,10,10,10,1,48,5445000,1
291,15,11,Antonio Giovinazzi,5,99,11,11,11,0,47,5450000,1
292,15,24,Kimi Raikkonen,5,7,12,12,12,0,46,5455000,1
293,15,33,Sebastian Vettel,2,5,13,13,13,0,45,5460000,1
294,15,25,Daniel Ricciardo,6,3,14,14,14,0,44,5465000,1
295,15,29,Mick Schumacher,4,47,15,15,15,0,43,5470000,1
296,15,17,Charles Leclerc,3,16,16,16,16,0,42,5475000,1
297,15,15,Nicholas Latifi,10,6,17,17,17,0,41,5480000,1
298,15,19,Nikita Mazepin,4,9,18,18,18,0,40,5485000,1
299,15,31,Yuki Tsunoda,8,22,19,19,19,0,39,5490000,1
300,15,30,Lance Stroll,2,18,20,20,20,0,38,5495000,1
301,16,6,Valtteri Bottas,7,77,1,1,1,25,57,5400000,1
302,16,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
303,16,22,Sergio Perez,9,11,3,3,3,15,55,5410000,1
304,16,17,Charles Leclerc,3,16,4,4,4,12,54,5415000,1
305,16,13,Lewis Hamilton,7,44,5,5,5,10,53,5420000,1
306,16,26,George Russell,10,63,6,6,6,8,52,5425000,1
307,16,2,Fernando Alonso,1,14,7,7,7,6,51,5430000,1
308,16,30,Lance Stroll,2,18,8,8,8,4,50,5435000,1
309,16,15,Nicholas Latifi,10,6,9,9,9,2,49,5440000,1
310,16,25,Daniel Ricciardo,6,3,10,10,10,1,48,5445000,1
311,16,10,Pierre Gasly,8,10,11,11,11,0,47,5450000,1
312,16,33,Sebastian Vettel,2,5,12,12,12,0,46,5455000,1
313,16,29,Mick Schumacher,4,47,13,13,13,0,45,5460000,1
314,16,19,Nikita Mazepin,4,9,14,14,14,0,44,5465000,1
315,16,31,Yuki Tsunoda,8,22,15,15,15,0,43,5470000,1
316,16,24,Kimi Raikkonen,5,7,16,16,16,0,42,5475000,1
317,16,21,Esteban Ocon,1,31,17,17,17,0,41,5480000,1
318,16,20,Lando Norris,6,4,18,18,18,0,40,5485000,1
319,16,11,Antonio Giovinazzi,5,99,19,19,19,0,39,5490000,1
320,16,27,Carlos Sainz,3,55,20,20,20,0,38,5495000,1
321,17,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
322,17,13,Lewis Hamilton,7,44,2,2,2,18,56,5405000,1
323,17,22,Sergio Perez,9,11,3,3,3,15,55,5410000,1
324,17,20,Lando Norris,6,4,4,4,4,12,54,5415000,1
325,17,6,Valtteri Bottas,7,77,5,5,5,10,53,5420000,1
326,17,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
327,17,2,Fernando Alonso,1,14,7,7,7,6,51,5430000,1
328,17,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
329,17,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
330,17,17,Charles Leclerc,3,16,10,10,10,1,48,5445000,1
331,17,26,George Russell,10,63,11,11,11,0,47,5450000,1
332,17,33,Sebastian Vettel,2,5,12,12,12,0,46,5455000,1
333,17,29,Mick Schumacher,4,47,13,13,13,0,45,5460000,1
334,17,31,Yuki Tsunoda,8,22,14,14,14,0,44,5465000,1
335,17,15,Nicholas Latifi,10,6,15,15,15,0,43,5470000,1
336,17,30,Lance Stroll,2,18,16,16,16,0,42,5475000,1
337,17,11,Antonio Giovinazzi,5,99,17,17,17,0,41,5480000,1
338,17,19,Nikita Mazepin,4,9,18,18,18,0,40,5485000,1
339,17,25,Daniel Ricciardo,6,3,19,19,19,0,39,5490000,1
340,17,24,Kimi Raikkonen,5,7,20,20,20,0,38,5495000,1
341,18,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
342,18,13,Lewis Hamilton,7,44,2,2,2,18,56,5405000,1
343,18,22,Sergio Perez,9,11,3,3,3,15,55,5410000,1
344,18,10,Pierre Gasly,8,10,4,4,4,12,54,5415000,1
345,18,20,Lando Norris,6,4,5,5,5,10,53,5420000,1
346,18,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
347,18,2,Fernando Alonso,1,14,7,7,7,6,51,5430000,1
348,18,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
349,18,17,Charles Leclerc,3,16,9,9,9,2,49,5440000,1
350,18,6,Valtteri Bottas,7,77,10,10,10,1,48,5445000,1
351,18,31,Yuki Tsunoda,8,22,11,11,11,0,47,5450000,1
352,18,19,Nikita Mazepin,4,9,12,12,12,0,46,5455000,1
353,18,24,Kimi Raikkonen,5,7,13,13,13,0,45,5460000,1
354,18,26,George Russell,10,63,14,14,14,0,44,5465000,1
355,18,30,Lance Stroll,2,18,15,15,15,0,43,5470000,1
356,18,11,Antonio Giovinazzi,5,99,16,16,16,0,42,5475000,1
357,18,15,Nicholas Latifi,10,6,17,17,17,0,41,5480000,1
358,18,33,Sebastian Vettel,2,5,18,18,18,0,40,5485000,1
359,18,25,Daniel Ricciardo,6,3,19,19,19,0,39,5490000,1
360,18,29,Mick Schumacher,4,47,20,20,20,0,38,5495000,1
361,19,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
362,19,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
363,19,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
364,19,20,Lando Norris,6,4,4,4,4,12,54,5415000,1
365,19,25,Daniel Ricciardo,6,3,5,5,5,10,53,5420000,1
366,19,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
367,19,17,Charles Leclerc,3,16,7,7,7,6,51,5430000,1
368,19,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
369,19,22,Sergio Perez,9,11,9,9,9,2,49,5440000,1
370,19,10,Pierre Gasly,8,10,10,10,10,1,48,5445000,1
371,19,26,George Russell,10,63,11,11,11,0,47,5450000,1
372,19,15,Nicholas Latifi,10,6,12,12,12,0,46,5455000,1
373,19,33,Sebastian Vettel,2,5,13,13,13,0,45,5460000,1
374,19,31,Yuki Tsunoda,8,22,14,14,14,0,44,5465000,1
375,19,2,Fernando Alonso,1,14,15,15,15,0,43,5470000,1
376,19,30,Lance Stroll,2,18,16,16,16,0,42,5475000,1
377,19,29,Mick Schumacher,4,47,17,17,17,0,41,5480000,1
378,19,24,Kimi Raikkonen,5,7,18,18,18,0,40,5485000,1
379,19,11,Antonio Giovinazzi,5,99,19,19,19,0,39,5490000,1
380,19,19,Nikita Mazepin,4,9,20,20,20,0,38,5495000,1
381,20,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
382,20,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
383,20,2,Fernando Alonso,1,14,3,3,3,15,55,5410000,1
384,20,20,Lando Norris,6,4,4,4,4,12,54,5415000,1
385,20,6,Valtteri Bottas,7,77,5,5,5,10,53,5420000,1
386,20,10,Pierre Gasly,8,10,6,6,6,8,52,5425000,1
387,20,27,Carlos Sainz,3,55,7,7,7,6,51,5430000,1
388,20,17,Charles Leclerc,3,16,8,8,8,4,50,5435000,1
389,20,22,Sergio Perez,9,11,9,9,9,2,49,5440000,1
390,20,30,Lance Stroll,2,18,10,10,10,1,48,5445000,1
391,20,33,Sebastian Vettel,2,5,11,11,11,0,47,5450000,1
392,20,19,Nikita Mazepin,4,9,12,12,12,0,46,5455000,1
393,20,29,Mick Schumacher,4,47,13,13,13,0,45,5460000,1
394,20,31,Yuki Tsunoda,8,22,14,14,14,0,44,5465000,1
